N,arrival_rate,method,threshold,delta,max_platoon_size,Pmax,case_count,optimality_rate,mean_average_delay_or_incumbent,median_average_delay_or_incumbent,mean_terminal_mip_gap,mean_solve_time_s,mean_end_to_end_time_s,mean_model_construction_time_s,mean_node_count,mean_number_of_platoons,mean_ordering_variable_count,mean_dimension_reduction_ratio,delay_order_check_case_count,delay_order_failure_count
20,1.0,PP,2,2,6,6,1,1.0,9.65,9.65,0.0,0.007080793380737305,0.011476766143046857,0.004341209307312965,1.0,6.0,13.0,0.9133333333333333,1,0
20,1.0,PP,2,2,8,8,1,1.0,9.65,9.65,0.0,0.006983041763305664,0.01164663896902609,0.004612519405782223,1.0,6.0,13.0,0.9133333333333333,1,0
20,1.0,PP,4,4,2,2,1,1.0,9.6,9.6,0.0,0.1338498592376709,0.13814950094458534,0.004249781370162964,3080.0,12.0,54.0,0.64,1,0
20,1.0,PP,4,4,4,4,1,1.0,9.6,9.6,0.0,0.028096914291381836,0.03241954542063236,0.0042693112045526505,330.0,8.0,24.0,0.84,1,0
20,1.0,PP,4,4,6,6,1,1.0,10.0,10.0,0.0,0.005618095397949219,0.009450129171698093,0.0037817731499671936,1.0,5.0,9.0,0.94,1,0
20,1.0,PP,4,4,8,8,1,1.0,10.0,10.0,0.0,0.004782199859619141,0.008507860181431293,0.0036727488040924072,1.0,5.0,9.0,0.94,1,0
20,1.0,PP,6,6,2,2,1,1.0,9.6,9.6,0.0,0.10422897338867188,0.10873856505819511,0.004458706825971603,2563.0,12.0,54.0,0.64,1,0
20,1.0,PP,6,6,4,4,1,1.0,9.6,9.6,0.0,0.026922941207885742,0.031031944941068174,0.004051322117447853,253.0,8.0,24.0,0.84,1,0
20,1.0,PP,6,6,6,6,1,1.0,10.0,10.0,0.0,0.0031251907348632812,0.007160935084473133,0.003983619622886181,1.0,4.0,6.0,0.96,1,0
20,1.0,PP,6,6,8,8,1,1.0,10.0,10.0,0.0,0.0029680728912353516,0.0065315294623041155,0.003513418138027191,1.0,4.0,6.0,0.96,1,0
20,1.0,PP,8,8,2,2,1,1.0,9.6,9.6,0.0,0.10387206077575684,0.10854724749580813,0.004622495733201504,2563.0,12.0,54.0,0.64,1,0
20,1.0,PP,8,8,4,4,1,1.0,9.6,9.6,0.0,0.027309894561767578,0.03145964522371816,0.004098682664334774,253.0,8.0,24.0,0.84,1,0
20,1.0,PP,8,8,6,6,1,1.0,10.0,10.0,0.0,0.002716064453125,0.006351322612793446,0.0035856179893016815,1.0,4.0,6.0,0.96,1,0
20,1.0,PP,8,8,8,8,1,1.0,10.0,10.0,0.0,0.0029349327087402344,0.006565941633758545,0.0035790977999567986,1.0,4.0,6.0,0.96,1,0
