instance_id,N,lambda,arrival_rate,total_arrival_rate,per_approach_arrival_rate,replication,method,threshold,delta,max_platoon_size,Pmax,run_role,point_index,time_s,incumbent_total_delay,incumbent_average_delay,best_bound_total_delay,best_bound_average_delay,mip_gap
N20_lambda0p5_rep001_seed17455957085392093784,20,0.5,0.5,0.5,0.125,1,PP,4,4,4,4,uniform_600s,6,0.019443988800048828,50.99999999999932,2.549999999999966,45.99999999999761,2.299999999999881,0.09803921568630926
N20_lambda0p5_rep001_seed17455957085392093784,20,0.5,0.5,0.5,0.125,1,PP,4,4,4,4,uniform_600s,7,0.023303985595703125,51.0,2.55,50.99999999999932,2.549999999999966,1.3374922084896003e-14
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,NP,,,1,1,uniform_600s,0,0.002846956253051758,235.99999999999943,11.799999999999972,1.0,0.05,0.9957627118644068
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,NP,,,1,1,uniform_600s,1,0.0052568912506103516,145.0,7.25,1.0,0.05,0.993103448275862
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,NP,,,1,1,uniform_600s,2,0.0070149898529052734,136.0,6.8,1.0,0.05,0.9926470588235294
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,NP,,,1,1,uniform_600s,3,0.009414911270141602,128.0,6.4,27.739487931942556,1.3869743965971277,0.7832852505316987
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,NP,,,1,1,uniform_600s,4,0.013264894485473633,121.99999999999523,6.099999999999762,36.91527293689143,1.8457636468445713,0.6974157955992387
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,NP,,,1,1,uniform_600s,5,0.015449047088623047,118.0,5.9,37.78869191408353,1.8894345957041765,0.6797568481857328
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,NP,,,1,1,uniform_600s,6,0.023439884185791016,112.0,5.6,38.861309325376965,1.9430654662688482,0.6530240238805628
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,NP,,,1,1,uniform_600s,7,0.028082847595214844,89.99999999999636,4.499999999999818,41.18251362928493,2.0591256814642462,0.542416515230149
