N,lambda,arrival_rate,total_arrival_rate,per_approach_arrival_rate,method,threshold,delta,max_platoon_size,Pmax,case_count,optimality_rate,mean_average_delay_or_incumbent,median_average_delay_or_incumbent,mean_terminal_mip_gap,mean_solve_time_s,mean_end_to_end_time_s,mean_model_construction_time_s,mean_node_count,mean_number_of_platoons,mean_ordering_variable_count,mean_dimension_reduction_ratio,delay_order_check_case_count,delay_order_failure_count
20,2.5,2.5,2.5,0.625,PP,8,8,4,4,10,1.0,9.305,9.15,0.0,0.021587228775024413,0.025846118690152027,0.0042049577459692955,168.0,8.0,24.0,0.8400000000000001,10,0
20,2.5,2.5,2.5,0.625,PP,8,8,6,6,10,1.0,9.690000000000001,9.825,0.0,0.0028401613235473633,0.006683496810229159,0.0037916463799774645,1.0,4.0,6.0,0.96,10,0
20,2.5,2.5,2.5,0.625,PP,8,8,8,8,10,1.0,9.690000000000001,9.825,0.0,0.002882075309753418,0.006538604423210191,0.0036064665764570236,1.0,4.0,6.0,0.96,10,0
40,0.5,0.5,0.5,0.125,CHP,2,2,NA,NA,10,1.0,2.5375,2.4125,0.0,11.237479567527771,11.252157181204296,0.01459743371233344,107144.2,30.9,356.4,0.40599999999999997,0,0
40,0.5,0.5,0.5,0.125,CHP,4,4,NA,NA,10,1.0,2.7600000000000002,2.575,0.0,0.6264801979064941,0.6382408954189133,0.011675453651696444,8548.6,24.5,224.8,0.6253333333333334,0,0
40,0.5,0.5,0.5,0.125,CHP,6,6,NA,NA,10,1.0,3.3225000000000002,2.9625,0.0,0.06446270942687989,0.07356898420200034,0.009031860809773206,113.4,20.2,153.4,0.7443333333333333,0,0
40,0.5,0.5,0.5,0.125,CHP,8,8,NA,NA,10,1.0,5.1475,4.1625,3.253579112695973e-14,0.036676788330078126,0.04481322458855128,0.00805757213383913,141.4,16.8,104.8,0.8253333333333334,0,0
40,0.5,0.5,0.5,0.125,NP,NA,NA,1,1,10,0.9,2.5374999962499896,2.4125,0.005168896506204878,65.72464063167573,65.74610760699726,0.021382632665336132,347835.5,40.0,600.0,0.0,0,0
40,0.5,0.5,0.5,0.125,PP,2,2,2,2,10,0.9,2.537499926190711,2.4124996309535565,0.014319457434560801,61.14984664916992,61.16419598117311,0.014269999787211418,750799.6,32.7,401.1,0.3315,9,0
40,0.5,0.5,0.5,0.125,PP,2,2,4,4,10,1.0,2.5374999959999354,2.4125,0.0,12.195528483390808,12.20957561330918,0.013965166918933392,106801.6,31.0,359.3,0.40116666666666667,9,0
40,0.5,0.5,0.5,0.125,PP,2,2,6,6,10,1.0,2.5375,2.4125,0.0,11.730570197105408,11.744724561075682,0.014070581272244453,107144.2,30.9,356.4,0.40599999999999997,9,0
