scenario,method,cases,mean_runtime_seconds,ci95_runtime_seconds,mean_node_count,ci95_node_count,mean_actual_average_gap,ci95_actual_average_gap,mean_indexed_bound,ci95_indexed_bound,mean_ordering_variables,ci95_ordering_variables,mean_dimension_reduction_fraction,ci95_dimension_reduction_fraction,all_actual_gaps_within_bound
balanced_uniform_L3,vehicle_level,5,0.11462106704711914,0.03769429854200991,2028.4,1664.84303685843,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,True
balanced_uniform_L4,bound_aware_loss_budget,5,0.0023677825927734377,0.0008697806324441239,1.0,0.0,0.7875,0.7064756719095144,13.3875,2.7822336350493644,15.6,2.1109846043967258,0.8375,0.021989422962465918,True
balanced_uniform_L4,fixed_size_2,5,0.009088420867919922,0.004476749150296084,46.4,88.984,0.9,0.2782665089442134,18.6875,5.401263798871519,24.0,0.0,0.75,0.0,True
balanced_uniform_L4,fixed_size_3,5,0.012035226821899414,0.005286482216087522,59.0,76.97586530854979,2.6375,0.764423557329312,18.8625,5.5448539430719,24.0,0.0,0.75,0.0,True
balanced_uniform_L4,fixed_size_4,5,0.0016791820526123047,0.0005241525469042184,1.0,0.0,6.375,1.6643778867793215,30.5625,5.76622477232721,6.0,0.0,0.9375,0.0,True
balanced_uniform_L4,release_gap_hF,5,0.11872320175170899,0.07037344585414596,3245.2,3721.697082254814,0.0,0.0,0.0,0.0,55.2,7.023257363930216,0.425,0.07315893087427307,True
balanced_uniform_L4,release_gap_hS,5,0.06645116806030274,0.04877239891299209,1392.8,1419.217769527989,0.075,0.11876815650670004,1.0625,0.7938907355549628,44.0,12.656805284114943,0.5416666666666667,0.13184172170953065,True
balanced_uniform_L4,vehicle_level,5,1.373100996017456,1.1356636339917054,19966.4,15108.218870877403,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,True
high_headway_bursty_L3,bound_aware_loss_budget,5,0.002028226852416992,0.0003942657938756859,1.0,0.0,0.013333333333333286,0.02613333333333324,0.4,0.3200666597236686,12.0,0.0,0.8400000000000001,0.0,True
high_headway_bursty_L3,fixed_size_2,5,0.006105852127075195,0.004345362766618888,1.0,0.0,0.4133333333333334,0.5936352190809888,3.7333333333333334,3.831007619122909,27.0,0.0,0.64,0.0,True
high_headway_bursty_L3,fixed_size_3,5,0.0022679805755615235,0.0008503942993234437,1.0,0.0,1.7733333333333334,1.0890108376156982,10.013333333333332,3.2047714870867847,12.0,0.0,0.8400000000000001,0.0,True
high_headway_bursty_L3,fixed_size_4,5,0.0019585609436035155,0.0004518056164116159,1.0,0.0,2.2399999999999998,1.0748077988386782,8.666666666666668,5.3088308484804605,12.0,0.0,0.8400000000000001,0.0,True
high_headway_bursty_L3,release_gap_hF,5,0.0018225669860839843,0.0004123422585990957,1.0,0.0,0.0,0.0,0.0,0.0,14.4,1.9203999583420115,0.808,0.02560533277789349,True
high_headway_bursty_L3,release_gap_hS,5,0.0018435955047607423,0.00038103498182895433,1.0,0.0,0.039999999999999945,0.05226666666666663,0.5199999999999999,0.25605332777893486,12.0,0.0,0.8400000000000001,0.0,True
high_headway_bursty_L3,vehicle_level,5,0.028778791427612305,0.019017488656873315,77.2,72.28760601928937,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,True
unbalanced_uniform_L3,bound_aware_loss_budget,5,0.0024039745330810547,0.0016286562064053293,1.0,0.0,0.9,0.47380745034243604,8.1125,1.8744501527114554,12.8,1.4402999687565088,0.8379746835443038,0.018231645174133015,True
unbalanced_uniform_L3,fixed_size_2,5,0.004551029205322266,0.0018967404918992098,1.0,0.0,0.375,0.3695360266604597,8.7,6.232036254307254,26.0,0.0,0.6708860759493671,0.0,True
unbalanced_uniform_L3,fixed_size_3,5,0.0016757488250732423,0.00024332990879219276,1.0,0.0,2.4875,0.7780437809018204,20.7125,3.8090606289477718,11.0,0.0,0.860759493670886,0.0,True
unbalanced_uniform_L3,fixed_size_4,5,0.0018186092376708985,0.0002809336641345044,1.0,0.0,3.4625,0.7606845601167411,20.75,4.700713044315723,8.0,0.0,0.8987341772151899,0.0,True
unbalanced_uniform_L3,release_gap_hF,5,0.03047351837158203,0.03655653176699662,434.2,744.1845120022318,0.0,0.0,0.0,0.0,45.4,9.100818424735216,0.42531645569620247,0.1152002332244964,True
unbalanced_uniform_L3,release_gap_hS,5,0.0041157245635986325,0.0014240322776780765,1.0,0.0,0.05,0.04583530298798078,2.0625,0.9060032422679292,26.2,6.48283148014816,0.6683544303797468,0.08206115797655902,True
unbalanced_uniform_L3,vehicle_level,5,0.09467868804931641,0.04891350661111547,1154.2,1254.4290015397444,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,True
