N,arrival_rate,method,threshold,max_platoon_size,cases,case_count,optimality_rate,mean_average_delay,median_average_delay,mean_actual_optimality_gap,median_actual_optimality_gap,actual_gap_case_count,actual_gap_availability_rate,bound_check_case_count,bound_violation_count,bound_violation_rate,mean_rule_level_upper_bound,median_rule_level_upper_bound,mean_bound_slack,median_bound_slack,delay_order_check_case_count,delay_order_failure_count,delay_order_failure_rate,mean_number_of_platoons,mean_ordering_variable_count,mean_dimension_reduction_ratio,mean_formation_time_ms,median_formation_time_ms,mean_solve_time_s,mean_end_to_end_time_s,mean_terminal_mip_gap,mean_node_count
16,1.0,PP,3,2,3,3,1.0,6.645833333333333,6.8125,0.0,0.0,1,0.3333333333333333,1,0,0.0,14.0,14.0,14.0,14.0,1,0,0.0,8.0,24.0,0.75,0.0014386666666666669,0.001417,0.06818262736002605,0.0719313693759691,0.0,634.3333333333334
16,1.0,PP,3,3,3,3,1.0,6.8125,6.8125,0.0,0.0,1,0.3333333333333333,1,0,0.0,17.5,17.5,17.5,17.5,1,0,0.0,8.0,24.0,0.75,0.0042829999999999995,0.0043265,0.03721936543782552,0.04179982266969252,0.0,253.0
20,0.4,CHP,2,NA,3,3,1.0,5.916666666666667,6.05,,,0,0.0,0,0,,16.15,16.15,,,0,0,,10.0,37.666666666666664,0.7488888888888888,0.0033165,0.0041615,0.12037698427836101,0.1253693759423612,0.0,1275.3333333333333
20,0.4,CHP,3,NA,3,3,1.0,5.916666666666667,6.05,,,0,0.0,0,0,,34.2,34.2,,,0,0,,6.333333333333333,15.666666666666666,0.8955555555555555,0.004148166666666667,0.004106,0.018123626708984375,0.022333125329305967,0.0,111.66666666666667
20,0.4,NP,NA,1,3,3,0.0,6.0,6.05,,,0,0.0,0,0,,0.0,0.0,,,0,0,,20.0,150.0,0.0,0.002609,0.0031195,5.001292546590169,5.008260753681652,0.5378464889255622,11368.333333333334
20,0.4,PP,2,2,3,3,0.6666666666666666,5.916666666666667,6.05,,,0,0.0,0,0,,8.5,8.5,,,0,0,,13.666666666666666,70.33333333333333,0.5311111111111111,0.0035988333333333337,0.004597,2.21165664990743,2.2167726682665454,0.1404966533781232,9570.0
20,0.4,PP,2,3,3,3,1.0,5.916666666666667,6.05,,,0,0.0,0,0,,11.050000000000002,11.05,,,0,0,,10.333333333333334,39.666666666666664,0.7355555555555555,0.0041995,0.0042965,0.1270439624786377,0.13184090068451118,0.0,1332.0
20,0.4,PP,3,2,3,3,1.0,5.916666666666667,6.05,,,0,0.0,0,0,,18.0,18.0,,,0,0,,12.333333333333334,57.0,0.62,0.0037085,0.004546,0.6051156520843506,0.6100880792099557,0.0,4548.0
20,0.4,PP,3,3,3,3,1.0,5.916666666666667,6.05,,,0,0.0,0,0,,23.399999999999995,23.4,,,0,0,,9.666666666666666,35.333333333333336,0.7644444444444444,0.0033466666666666666,0.004036,0.09694361686706543,0.1016338422173985,0.0,868.3333333333334
20,0.7,CHP,2,NA,3,3,1.0,7.25,7.3,,,0,0.0,0,0,,16.15,16.15,,,0,0,,7.666666666666667,22.0,0.8533333333333334,0.004171666666666666,0.004182,0.07114696502685547,0.07627350615925073,0.0,757.6666666666666
20,0.7,CHP,3,NA,3,3,1.0,7.25,7.3,,,0,0.0,0,0,,34.2,34.2,,,0,0,,6.333333333333333,14.333333333333334,0.9044444444444445,0.0038641666666666664,0.0038855,0.0165250301361084,0.020439603164821466,0.0,84.66666666666667
20,0.7,NP,NA,1,3,3,0.0,7.083333333333333,7.1,,,0,0.0,0,0,,0.0,0.0,,,0,0,,20.0,150.0,0.0,0.0026336666666666665,0.00337,5.000067949295044,5.007122338325453,0.5485879195250808,9376.0
20,0.7,PP,2,2,3,3,1.0,7.05,7.0,,,0,0.0,0,0,,8.5,8.5,,,0,0,,12.666666666666666,60.0,0.6000000000000001,0.0026221666666666667,0.001797,1.222922960917155,1.2273704706349902,0.0,7791.0
20,0.7,PP,2,3,3,3,1.0,7.116666666666667,7.0,,,0,0.0,0,0,,11.050000000000002,11.05,,,0,0,,10.0,37.333333333333336,0.7511111111111112,0.0045285,0.004507,0.23743629455566406,0.24222894954170718,0.0,2024.0
20,0.7,PP,3,2,3,3,1.0,7.05,7.0,,,0,0.0,0,0,,18.0,18.0,,,0,0,,12.0,54.0,0.64,0.004328,0.0045015,0.6020727157592773,0.6067749229147542,0.0,4468.333333333333
20,0.7,PP,3,3,3,3,1.0,7.116666666666667,7.0,,,0,0.0,0,0,,23.399999999999995,23.4,,,0,0,,9.333333333333334,32.333333333333336,0.7844444444444445,0.004228333333333333,0.004477,0.09530838330586751,0.09964845249275288,0.0,885.3333333333334
20,1.0,CHP,2,NA,3,3,1.0,8.183333333333332,8.2,,,0,0.0,0,0,,16.15,16.15,,,0,0,,5.333333333333333,10.666666666666666,0.9288888888888889,0.0032635000000000003,0.0041465,0.013934850692749023,0.018383996085986454,0.0,72.0
20,1.0,CHP,3,NA,3,3,1.0,8.183333333333332,8.2,,,0,0.0,0,0,,34.2,34.2,,,0,0,,4.333333333333333,7.0,0.9533333333333333,0.0042931666666666665,0.0041665,0.008939345677693685,0.01314571787225151,0.0,34.666666666666664
20,1.0,NP,NA,1,3,3,0.0,8.316666666666666,8.25,,,0,0.0,0,0,,0.0,0.0,,,0,0,,20.0,150.0,0.0,0.002983,0.003135,5.00006365776062,5.006774441002428,0.5431528851695284,8187.0
20,1.0,PP,2,2,3,3,1.0,8.183333333333332,8.2,,,0,0.0,0,0,,8.5,8.5,,,0,0,,12.0,54.0,0.64,0.0026340000000000005,0.0015875,0.5065720081329346,0.5110768572451837,0.0,3976.0
20,1.0,PP,2,3,3,3,1.0,8.183333333333332,8.2,,,0,0.0,0,0,,11.050000000000002,11.05,,,0,0,,9.0,30.333333333333332,0.7977777777777778,0.0045635,0.0045115,0.0732122262318929,0.07789724880905247,0.0,724.3333333333334
20,1.0,PP,3,2,3,3,1.0,8.183333333333332,8.2,,,0,0.0,0,0,,18.0,18.0,,,0,0,,12.0,54.0,0.64,0.0035651666666666666,0.004582,0.310470978418986,0.3147894858710712,0.0,2997.0
20,1.0,PP,3,3,3,3,1.0,8.183333333333332,8.2,,,0,0.0,0,0,,23.399999999999995,23.4,,,0,0,,8.0,24.0,0.84,0.003424,0.004272,0.053281943003336586,0.057770572750523726,0.0,488.6666666666667
