scenario,method,cases,mean_runtime_seconds,ci95_runtime_seconds,mean_node_count,ci95_node_count,mean_actual_average_gap,ci95_actual_average_gap,mean_indexed_bound,ci95_indexed_bound,mean_ordering_variables,ci95_ordering_variables,mean_dimension_reduction_fraction,ci95_dimension_reduction_fraction,all_actual_gaps_within_bound
balanced_uniform_L4,fixed_size_4,5,0.002798128128051758,0.0005189960387452228,1.0,0.0,5.4625,1.3478340495031278,30.5625,5.76622477232721,6.0,0.0,0.9375,0.0,True
balanced_uniform_L4,release_gap_hF,5,0.10995421409606934,0.06578956897086681,2928.6,2898.7423694174686,0.0,0.0,0.0,0.0,55.2,7.023257363930216,0.425,0.07315893087427307,True
balanced_uniform_L4,release_gap_hS,5,0.06991581916809082,0.05217538525539854,1538.8,1779.224846202413,0.05,0.07142916071185493,1.0625,0.7938907355549628,44.0,12.656805284114943,0.5416666666666667,0.13184172170953065,True
balanced_uniform_L4,vehicle_level,5,1.3024208068847656,1.0809702138912758,19966.4,15108.218870877403,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,True
high_headway_bursty_L3,bound_aware_loss_budget,5,0.002092790603637695,0.0008585516524849462,0.8,0.39199999999999996,0.0,0.0,0.4,0.3200666597236686,12.0,0.0,0.8400000000000001,0.0,True
high_headway_bursty_L3,fixed_size_2,5,0.0070534229278564455,0.005641890200053252,15.4,28.223999999999997,0.36,0.5837744465497307,3.7333333333333334,3.831007619122909,27.0,0.0,0.64,0.0,True
high_headway_bursty_L3,fixed_size_3,5,0.002785205841064453,0.000939487291867108,1.0,0.0,1.2266666666666668,0.7558363608906656,10.013333333333332,3.2047714870867847,12.0,0.0,0.8400000000000001,0.0,True
high_headway_bursty_L3,fixed_size_4,5,0.002724456787109375,0.0006270228262392197,1.0,0.0,1.4666666666666668,0.8022975895652574,8.666666666666668,5.3088308484804605,12.0,0.0,0.8400000000000001,0.0,True
high_headway_bursty_L3,release_gap_hF,5,0.0018772602081298829,0.0006286087839257839,0.8,0.39199999999999996,0.0,0.0,0.0,0.0,14.4,1.9203999583420115,0.808,0.02560533277789349,True
high_headway_bursty_L3,release_gap_hS,5,0.002062416076660156,0.0008925701373141843,0.8,0.39199999999999996,0.0,0.0,0.5199999999999999,0.25605332777893486,12.0,0.0,0.8400000000000001,0.0,True
high_headway_bursty_L3,vehicle_level,5,0.027047348022460938,0.017873953597653633,77.2,72.28760601928937,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,True
unbalanced_uniform_L3,bound_aware_loss_budget,5,0.0028376102447509764,0.0011036077240365297,1.0,0.0,0.7375,0.5777014800050281,8.1125,1.8744501527114554,12.8,1.4402999687565088,0.8379746835443038,0.018231645174133015,True
unbalanced_uniform_L3,fixed_size_2,5,0.006224393844604492,0.002574475920058921,1.0,0.0,0.3375,0.36049150475427294,8.7,6.232036254307254,26.0,0.0,0.6708860759493671,0.0,True
unbalanced_uniform_L3,fixed_size_3,5,0.0029686450958251952,0.0004316524683339578,1.0,0.0,2.125,0.6754183888524208,20.7125,3.8090606289477718,11.0,0.0,0.860759493670886,0.0,True
unbalanced_uniform_L3,fixed_size_4,5,0.0022171497344970702,0.0002866782206670095,1.0,0.0,2.75,0.5095175414055928,20.75,4.700713044315723,8.0,0.0,0.8987341772151899,0.0,True
unbalanced_uniform_L3,release_gap_hF,5,0.03090672492980957,0.03602508572648338,439.2,709.1033505942557,0.0,0.0,0.0,0.0,45.4,9.100818424735216,0.42531645569620247,0.1152002332244964,True
unbalanced_uniform_L3,release_gap_hS,5,0.004581832885742187,0.0010846075108474176,1.0,0.0,0.0375,0.048999999999999995,2.0625,0.9060032422679292,26.2,6.48283148014816,0.6683544303797468,0.08206115797655902,True
unbalanced_uniform_L3,vehicle_level,5,0.08960919380187989,0.04533138208993139,1154.2,1254.4290015397444,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,True
