N,arrival_rate,threshold,max_platoon_size,cases,case_count,actual_gap_case_count,actual_gap_availability_rate,np_optimality_rate,pp_optimality_rate,violation_count,violation_rate,actual_equals_partition_bound_cases,partition_equals_rule_bound_cases,mean_actual_gap,median_actual_gap,mean_partition_specific_upper_bound,median_partition_specific_upper_bound,mean_rule_level_upper_bound,median_rule_level_upper_bound,mean_number_of_platoons,mean_ordering_variable_count,optimality_rate
12,0.4,4,2,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.027777777777777752,0.0,2.4166666666666665,2.4166666666666665,15.5,15.5,8.0,24.0,1.0
12,0.4,4,3,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.08333333333333326,0.08333333333333326,4.472222222222222,3.8333333333333335,20.666666666666668,20.666666666666668,6.0,13.333333333333334,1.0
12,0.4,4,4,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.08333333333333326,0.08333333333333326,4.472222222222222,3.8333333333333335,23.25,23.25,6.0,13.333333333333334,1.0
12,0.4,4,5,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.08333333333333326,0.08333333333333326,4.472222222222222,3.8333333333333335,23.25,23.25,6.0,13.333333333333334,1.0
12,0.7,1,2,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,26.0,1.0
12,0.7,1,3,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,14.333333333333334,1.0
12,0.7,1,4,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,14.333333333333334,1.0
12,0.7,1,5,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,14.333333333333334,1.0
12,0.7,2,2,3,3,3,1.0,1.0,1.0,0,0.0,2,0,0.0,0.0,0.2222222222222222,0.0,4.5,4.5,8.0,24.0,1.0
12,0.7,2,3,3,3,3,1.0,1.0,1.0,0,0.0,2,0,0.0,0.0,0.2222222222222222,0.0,6.0,6.0,6.0,13.0,1.0
12,0.7,2,4,3,3,3,1.0,1.0,1.0,0,0.0,2,0,0.0,0.0,0.2222222222222222,0.0,6.75,6.75,6.0,13.0,1.0
12,0.7,2,5,3,3,3,1.0,1.0,1.0,0,0.0,2,0,0.0,0.0,0.2222222222222222,0.0,6.75,6.75,6.0,13.0,1.0
12,0.7,3,2,3,3,3,1.0,1.0,1.0,0,0.0,2,0,0.44444444444444436,0.0,0.5555555555555556,0.0,10.0,10.0,8.0,24.0,1.0
12,0.7,3,3,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.44444444444444436,0.0,1.277777777777778,1.5,13.333333333333334,13.333333333333334,5.333333333333333,10.333333333333334,1.0
12,0.7,3,4,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.44444444444444436,0.0,1.277777777777778,1.5,15.0,15.0,5.333333333333333,10.333333333333334,1.0
12,0.7,3,5,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.44444444444444436,0.0,1.277777777777778,1.5,15.0,15.0,5.333333333333333,10.333333333333334,1.0
12,0.7,4,2,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.8888888888888888,1.333333333333333,4.0,4.25,15.5,15.5,8.0,24.0,1.0
12,0.7,4,3,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.8888888888888888,1.333333333333333,4.722222222222222,4.916666666666667,20.666666666666668,20.666666666666668,4.0,6.0,1.0
12,0.7,4,4,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.8888888888888888,1.333333333333333,4.722222222222222,4.916666666666667,23.25,23.25,4.0,6.0,1.0
12,0.7,4,5,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.8888888888888888,1.333333333333333,4.722222222222222,4.916666666666667,23.25,23.25,4.0,6.0,1.0
12,1.0,1,2,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,1.0
12,1.0,1,3,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.333333333333334,1.0
12,1.0,1,4,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.333333333333334,1.0
12,1.0,1,5,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.333333333333334,1.0
12,1.0,2,2,3,3,3,1.0,1.0,1.0,0,0.0,2,0,0.0,0.0,0.25,0.0,4.5,4.5,8.0,24.0,1.0
12,1.0,2,3,3,3,3,1.0,1.0,1.0,0,0.0,2,0,0.0,0.0,0.25,0.0,6.0,6.0,4.666666666666667,8.0,1.0
12,1.0,2,4,3,3,3,1.0,1.0,1.0,0,0.0,2,0,0.0,0.0,0.25,0.0,6.75,6.75,4.666666666666667,8.0,1.0
12,1.0,2,5,3,3,3,1.0,1.0,1.0,0,0.0,2,0,0.0,0.0,0.25,0.0,6.75,6.75,4.666666666666667,8.0,1.0
12,1.0,3,2,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.0,0.0,1.361111111111111,1.6666666666666667,10.0,10.0,8.0,24.0,1.0
12,1.0,3,3,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.0,0.0,1.361111111111111,1.6666666666666667,13.333333333333334,13.333333333333334,4.0,6.0,1.0
12,1.0,3,4,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.0,0.0,1.361111111111111,1.6666666666666667,15.0,15.0,4.0,6.0,1.0
12,1.0,3,5,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.0,0.0,1.361111111111111,1.6666666666666667,15.0,15.0,4.0,6.0,1.0
12,1.0,4,2,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.0,0.0,1.361111111111111,1.6666666666666667,15.5,15.5,8.0,24.0,1.0
12,1.0,4,3,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.0,0.0,1.361111111111111,1.6666666666666667,20.666666666666668,20.666666666666668,4.0,6.0,1.0
12,1.0,4,4,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.0,0.0,1.361111111111111,1.6666666666666667,23.25,23.25,4.0,6.0,1.0
12,1.0,4,5,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.0,0.0,1.361111111111111,1.6666666666666667,23.25,23.25,4.0,6.0,1.0
16,0.4,1,2,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,12.333333333333334,56.666666666666664,1.0
16,0.4,1,3,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,11.333333333333334,48.333333333333336,1.0
16,0.4,1,4,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,11.0,46.0,1.0
16,0.4,1,5,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,11.0,46.0,1.0
16,0.4,2,2,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,0,0.0,0.0,0.9791666666666666,0.75,6.5,6.5,11.0,45.0,1.0
16,0.4,2,3,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,0,0.0,0.0,1.2291666666666667,1.4375,8.125,8.125,9.666666666666666,34.333333333333336,1.0
16,0.4,2,4,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,0,0.0,0.0,1.4583333333333333,1.4375,9.75,9.75,9.0,29.333333333333332,1.0
16,0.4,2,5,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,0,0.0,0.0,1.4583333333333333,1.4375,9.75,9.75,9.0,29.333333333333332,1.0
16,0.4,3,2,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,2.1041666666666665,1.75,14.0,14.0,10.333333333333334,40.333333333333336,1.0
16,0.4,3,3,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,2.8958333333333335,1.75,17.5,17.5,9.0,30.333333333333332,1.0
16,0.4,3,4,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,3.125,1.75,21.0,21.0,8.0,24.0,1.0
16,0.4,3,5,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,3.125,1.75,21.0,21.0,8.0,24.0,1.0
16,0.4,4,2,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.1875,0.1875,5.666666666666667,5.75,21.5,21.5,9.333333333333334,33.0,1.0
16,0.4,4,3,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,5.291666666666667,4.125,26.875,26.875,8.333333333333334,26.0,1.0
16,0.4,4,4,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,1.1875,1.1875,8.0625,6.4375,32.25,32.25,6.0,13.666666666666666,1.0
16,0.4,4,5,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,1.1875,1.1875,8.0625,6.4375,32.25,32.25,6.0,13.666666666666666,1.0
16,0.7,1,2,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,42.333333333333336,1.0
16,0.7,1,3,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,9.333333333333334,32.333333333333336,1.0
16,0.7,1,4,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,1.0
