scenario,replication,target_dimension_reduction,target_ordering_budget,method_family,method_detail,N,L,counts,demand_pattern,arrival_mode,hF,hS,max_platoon_size,partition,total_platoons,platoons_by_approach,ordering_variables,vehicle_level_ordering_variables,dimension_reduction_fraction,scaled_indexed_bound,indexed_bound,actual_average_gap,actual_gap_le_indexed_bound,vehicle_level_average_delay,objective_average_delay,status,mip_gap,nodes,time_to_first_feasible,partition_time_seconds,partition_model_construction_seconds,partition_optimization_seconds,model_construction_seconds,downstream_optimization_seconds,end_to_end_seconds
N30_L3_balanced_uniform_hS2,0,0.9,30,fixed_size_closest_dimension,fixed_size_4,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[4, 4, 2], [4, 4, 2], [4, 4, 2]]",9,"[3, 3, 3]",27,300,0.91,2090,69.66666666666667,5.2,True,0.8,6.0,OPTIMAL,0.0,1.0,0.00012683868408203125,0.0,0.0,0.0,0.004612347111105919,0.0011949539184570312,0.00580730102956295
N30_L3_balanced_uniform_hS2,0,0.9,30,threshold_closest_dimension,release_gap_threshold_13,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[4, 4, 2], [4, 4, 2], [4, 3, 3]]",9,"[3, 3, 3]",27,300,0.91,1767,58.9,4.766666666666667,True,0.8,5.566666666666666,OPTIMAL,0.0,1.0,0.00012803077697753906,0.0,0.0,0.0,0.003979831002652645,0.0014109611511230469,0.005390792153775692
N40_L3_balanced_uniform_hS2,0,0.25,400,proposed_bound_aware,min_Bidx_under_C_budget,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[1, 3, 1, 1, 1, 1, 2, 1, 2, 1], [1, 1, 1, 2, 1, 1, 2, 1, 1, 2], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]]",32,"[10, 10, 12]",340,533,0.3621013133208255,0,0.0,0.0,True,1.05,1.05,OPTIMAL,0.0,6.0,0.0002570152282714844,0.015479039400815964,0.010509945452213287,0.004739999771118164,0.011080586351454258,0.04278302192687988,0.0693426476791501
N40_L3_balanced_uniform_hS2,0,0.25,400,fixed_size_closest_dimension,fixed_size_1,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",40,"[14, 13, 13]",533,533,0.0,0,0.0,0.0,True,1.05,1.05,OPTIMAL,0.0,688.0,0.004635810852050781,0.0,0.0,0.0,0.015388352796435356,0.2257230281829834,0.24111138097941875
N40_L3_balanced_uniform_hS2,0,0.25,400,threshold_closest_dimension,release_gap_threshold_0,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1], [1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]]",37,"[13, 12, 12]",456,533,0.14446529080675422,0,0.0,0.0,True,1.05,1.05,OPTIMAL,0.0,25.0,0.003931999206542969,0.0,0.0,0.0,0.013362813740968704,0.06851410865783691,0.08187692239880562
N40_L3_balanced_uniform_hS2,0,0.5,266,proposed_bound_aware,min_Bidx_under_C_budget,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[1, 3, 1, 1, 1, 1, 2, 1, 2, 1], [2, 1, 2, 1, 4, 1, 2], [1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2]]",28,"[10, 7, 11]",257,533,0.5178236397748592,133,3.325,0.09999999999999987,True,1.05,1.15,OPTIMAL,0.0,21.0,0.0002110004425048828,0.01886444352567196,0.01006375066936016,0.008567094802856445,0.008557996712625027,0.022800922393798828,0.050223362632095814
N40_L3_balanced_uniform_hS2,0,0.5,266,fixed_size_closest_dimension,fixed_size_2,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 1], [2, 2, 2, 2, 2, 2, 1]]",21,"[7, 7, 7]",147,533,0.724202626641651,3530,88.25,2.3499999999999996,True,1.05,3.4,OPTIMAL,0.0,1.0,0.00015497207641601562,0.0,0.0,0.0,0.006527389399707317,0.004138946533203125,0.010666335932910442
N40_L3_balanced_uniform_hS2,0,0.5,266,threshold_closest_dimension,release_gap_threshold_2,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[1, 3, 1, 1, 1, 1, 2, 1, 2, 1], [2, 1, 2, 1, 4, 1, 2], [1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2]]",28,"[10, 7, 11]",257,533,0.5178236397748592,133,3.325,0.09999999999999987,True,1.05,1.15,OPTIMAL,0.0,21.0,0.00018715858459472656,0.0,0.0,0.0,0.009119273163378239,0.022576093673706055,0.03169536683708429
N40_L3_balanced_uniform_hS2,0,0.75,133,proposed_bound_aware,min_Bidx_under_C_budget,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[1, 4, 2, 1, 2, 4], [2, 1, 2, 1, 4, 1, 2], [1, 3, 1, 1, 1, 2, 4]]",20,"[6, 7, 7]",133,533,0.7504690431519699,831,20.775,0.925,True,1.05,1.975,OPTIMAL,0.0,1.0,0.0001709461212158203,0.02689810749143362,0.010124903172254562,0.016544818878173828,0.006631767377257347,0.010725021362304688,0.044254896230995655
N40_L3_balanced_uniform_hS2,0,0.75,133,fixed_size_closest_dimension,fixed_size_2,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 1], [2, 2, 2, 2, 2, 2, 1]]",21,"[7, 7, 7]",147,533,0.724202626641651,3530,88.25,2.3499999999999996,True,1.05,3.4,OPTIMAL,0.0,1.0,0.00015497207641601562,0.0,0.0,0.0,0.00625584926456213,0.004183053970336914,0.010438903234899044
