instance_id,seed,replication,N,L,counts,releases,arrival_rate,h_F,h_S,method,run_role,threshold,delta,max_platoon_size,Pmax,partition,number_of_platoons,ordering_variable_count,vehicle_level_ordering_variable_count,dimension_reduction_ratio,formation_time_ms,formation_repetitions,partition_specific_upper_bound,scaled_partition_specific_upper_bound,rule_level_upper_bound,scaled_rule_level_upper_bound,time_limit_s,threads,status,objective,objective_total_delay,best_bound,terminal_mip_gap,solve_time_s,model_construction_time_s,end_to_end_time_s,node_count,time_to_first_feasible_s,sol_count,np_30s_status,np_30s_objective,np_recovery_status,np_recovery_objective,np_optimal_objective,np_optimal_source,actual_optimality_gap,bound_check_available,bound_valid,bound_slack,delay_order_check_available,np_pp_chp_delay_order_holds,matching_chp_objective,pp_optimal_objective,np_30s_terminal_mip_gap,np_30s_solve_time_s,lambda,total_arrival_rate,per_approach_arrival_rate
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,PP,initial_30s,8,8,8,8,"[[5], [5], [5], [5]]",4,6,150,0.96,0.004727,20,9.2,184,109.65,2193,30.0,12,OPTIMAL,9.25,185.0,184.99999999999716,0.0,0.003047943115234375,0.003727964125573635,0.006824973577262879,1.0,0.0004031658172607422,3,OPTIMAL,8.25,,,8.25,initial_30s,1.0,True,True,108.65,True,True,9.25,9.25,0.0,5.070898056030273,1.5,1.5,0.375
N20_lambda1p5_rep001_seed16722075741403979326,16722075741403979326,1,20,4,"[5, 5, 5, 5]","[[4, 4, 4, 7, 7], [2, 3, 5, 8, 11], [1, 4, 4, 7, 7], [1, 2, 5, 8, 9]]",1.5,1,3,CHP,initial_30s,2,2,,,"[[3, 2], [3, 1, 1], [1, 2, 2], [2, 1, 2]]",11,45,150,0.7,0.001773,20,0.7,14,14.25,285,30.0,12,OPTIMAL,9.55,191.0,191.0,0.0,0.09398794174194336,0.005168852396309376,0.09921441762172985,2764.0,0.0010099411010742188,9,OPTIMAL,9.55,,,9.55,initial_30s,0.0,False,,,False,,9.55,,,,1.5,1.5,0.375
N20_lambda1p5_rep001_seed16722075741403979326,16722075741403979326,1,20,4,"[5, 5, 5, 5]","[[4, 4, 4, 7, 7], [2, 3, 5, 8, 11], [1, 4, 4, 7, 7], [1, 2, 5, 8, 9]]",1.5,1,3,CHP,initial_30s,4,4,,,"[[5], [5], [5], [5]]",4,6,150,0.96,0.001562,20,11.4,228,50.35,1007,30.0,12,OPTIMAL,11.1,222.0,222.0,0.0,0.002856016159057617,0.003679681569337845,0.006585542284631252,1.0,0.0005218982696533203,2,OPTIMAL,9.55,,,9.55,initial_30s,1.549999999999999,False,,,False,,11.1,,,,1.5,1.5,0.375
N20_lambda1p5_rep001_seed16722075741403979326,16722075741403979326,1,20,4,"[5, 5, 5, 5]","[[4, 4, 4, 7, 7], [2, 3, 5, 8, 11], [1, 4, 4, 7, 7], [1, 2, 5, 8, 9]]",1.5,1,3,CHP,initial_30s,6,6,,,"[[5], [5], [5], [5]]",4,6,150,0.96,0.004452,20,11.4,228,86.45,1729,30.0,12,OPTIMAL,11.1,222.0,222.0,0.0,0.003371000289916992,0.0037305178120732307,0.007149069848098278,1.0,0.0004019737243652344,2,OPTIMAL,9.55,,,9.55,initial_30s,1.549999999999999,False,,,False,,11.1,,,,1.5,1.5,0.375
N20_lambda1p5_rep001_seed16722075741403979326,16722075741403979326,1,20,4,"[5, 5, 5, 5]","[[4, 4, 4, 7, 7], [2, 3, 5, 8, 11], [1, 4, 4, 7, 7], [1, 2, 5, 8, 9]]",1.5,1,3,CHP,initial_30s,8,8,,,"[[5], [5], [5], [5]]",4,6,150,0.96,0.0014475,20,11.4,228,122.55,2451,30.0,12,OPTIMAL,11.1,222.0,222.0,0.0,0.0024919509887695312,0.004111744463443756,0.006647732333550453,1.0,0.0003948211669921875,2,OPTIMAL,9.55,,,9.55,initial_30s,1.549999999999999,False,,,False,,11.1,,,,1.5,1.5,0.375
N20_lambda1p5_rep001_seed16722075741403979326,16722075741403979326,1,20,4,"[5, 5, 5, 5]","[[4, 4, 4, 7, 7], [2, 3, 5, 8, 11], [1, 4, 4, 7, 7], [1, 2, 5, 8, 9]]",1.5,1,3,NP,initial_30s,,,1,1,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",20,150,150,0.0,0.0012215,20,0.0,0,0.0,0,30.0,12,OPTIMAL,9.55,191.0,191.0,0.0,10.313179969787598,0.005971193313598633,10.319205507240852,149040.0,0.0014488697052001953,10,OPTIMAL,9.55,,,9.55,initial_30s,0.0,False,,,False,,,,,,1.5,1.5,0.375
N20_lambda1p5_rep001_seed16722075741403979326,16722075741403979326,1,20,4,"[5, 5, 5, 5]","[[4, 4, 4, 7, 7], [2, 3, 5, 8, 11], [1, 4, 4, 7, 7], [1, 2, 5, 8, 9]]",1.5,1,3,PP,initial_30s,2,2,2,2,"[[2, 1, 2], [2, 1, 1, 1], [1, 2, 2], [2, 1, 2]]",13,63,150,0.5800000000000001,0.004883,20,0.0,0,7.5,150,30.0,12,OPTIMAL,9.55,191.0,191.0,0.0,0.2295691967010498,0.005396504886448383,0.23502105109517146,7921.0,0.0011200904846191406,9,OPTIMAL,9.55,,,9.55,initial_30s,0.0,True,True,7.5,True,True,9.55,9.55,0.0,10.313179969787598,1.5,1.5,0.375
N20_lambda1p5_rep001_seed16722075741403979326,16722075741403979326,1,20,4,"[5, 5, 5, 5]","[[4, 4, 4, 7, 7], [2, 3, 5, 8, 11], [1, 4, 4, 7, 7], [1, 2, 5, 8, 9]]",1.5,1,3,PP,initial_30s,2,2,4,4,"[[3, 2], [3, 1, 1], [1, 2, 2], [2, 1, 2]]",11,45,150,0.7,0.001778,20,0.7,14,11.25,225,30.0,12,OPTIMAL,9.55,191.0,191.0,0.0,0.09001493453979492,0.004726462997496128,0.09479529141724395,2764.0,0.0009181499481201172,9,OPTIMAL,9.55,,,9.55,initial_30s,0.0,True,True,11.25,True,True,9.55,9.55,0.0,10.313179969787598,1.5,1.5,0.375
N20_lambda1p5_rep001_seed16722075741403979326,16722075741403979326,1,20,4,"[5, 5, 5, 5]","[[4, 4, 4, 7, 7], [2, 3, 5, 8, 11], [1, 4, 4, 7, 7], [1, 2, 5, 8, 9]]",1.5,1,3,PP,initial_30s,2,2,6,6,"[[3, 2], [3, 1, 1], [1, 2, 2], [2, 1, 2]]",11,45,150,0.7,0.001848,20,0.7,14,12.0,240,30.0,12,OPTIMAL,9.55,191.0,191.0,0.0,0.09056520462036133,0.0045730313286185265,0.09519068084181356,2764.0,0.0008950233459472656,9,OPTIMAL,9.55,,,9.55,initial_30s,0.0,True,True,12.0,True,True,9.55,9.55,0.0,10.313179969787598,1.5,1.5,0.375
N20_lambda1p5_rep001_seed16722075741403979326,16722075741403979326,1,20,4,"[5, 5, 5, 5]","[[4, 4, 4, 7, 7], [2, 3, 5, 8, 11], [1, 4, 4, 7, 7], [1, 2, 5, 8, 9]]",1.5,1,3,PP,initial_30s,2,2,8,8,"[[3, 2], [3, 1, 1], [1, 2, 2], [2, 1, 2]]",11,45,150,0.7,0.0049825,20,0.7,14,12.75,255,30.0,12,OPTIMAL,9.55,191.0,191.0,0.0,0.0896921157836914,0.004653913900256157,0.09440073642752886,2764.0,0.0009119510650634766,9,OPTIMAL,9.55,,,9.55,initial_30s,0.0,True,True,12.75,True,True,9.55,9.55,0.0,10.313179969787598,1.5,1.5,0.375
