scenario,replication,target_dimension_reduction,target_ordering_budget,method_family,method_detail,N,L,counts,demand_pattern,arrival_mode,hF,hS,max_platoon_size,partition,total_platoons,platoons_by_approach,ordering_variables,vehicle_level_ordering_variables,dimension_reduction_fraction,scaled_indexed_bound,indexed_bound,actual_average_gap,actual_gap_le_indexed_bound,vehicle_level_average_delay,objective_average_delay,status,mip_gap,nodes,time_to_first_feasible,partition_time_seconds,partition_model_construction_seconds,partition_optimization_seconds,model_construction_seconds,downstream_optimization_seconds,end_to_end_seconds
N40_L3_balanced_uniform_hS2,0,0.75,133,threshold_closest_dimension,release_gap_threshold_5,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[1, 4, 3, 2, 4], [2, 1, 2, 1, 4, 1, 2], [1, 3, 1, 2, 4, 2]]",18,"[5, 7, 6]",107,533,0.799249530956848,1103,27.575,1.2249999999999999,True,1.05,2.275,OPTIMAL,0.0,1.0,6.29425048828125e-05,0.0,0.0,0.0,0.0034125037491321564,0.002947092056274414,0.0063595958054065704
N40_L3_balanced_uniform_hS2,0,0.9,53,proposed_bound_aware,min_Bidx_under_C_budget,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[4, 4, 2, 4], [3, 4, 4, 2], [1, 4, 4, 4]]",12,"[4, 4, 4]",48,533,0.9099437148217636,3226,80.65,3.95,True,1.05,5.0,OPTIMAL,0.0,1.0,4.291534423828125e-05,0.15654484555125237,0.0075047751888632774,0.14880800247192383,0.0025673983618617058,0.0008199214935302734,0.15993216540664434
N40_L3_balanced_uniform_hS2,0,0.9,53,fixed_size_closest_dimension,fixed_size_4,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[4, 4, 4, 2], [4, 4, 4, 1], [4, 4, 4, 1]]",12,"[4, 4, 4]",48,533,0.9099437148217636,5078,126.95,8.075,True,1.05,9.125,OPTIMAL,0.0,13.0,4.696846008300781e-05,0.0,0.0,0.0,0.0024200649932026863,0.016700029373168945,0.01912009436637163
N40_L3_balanced_uniform_hS2,0,0.9,53,threshold_closest_dimension,release_gap_threshold_15,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[4, 4, 4, 2], [2, 4, 4, 1, 2], [4, 4, 4, 1]]",13,"[4, 5, 4]",56,533,0.8949343339587242,3576,89.4,4.8,True,1.05,5.85,OPTIMAL,0.0,1.0,4.601478576660156e-05,0.0,0.0,0.0,0.0026362119242548943,0.0029489994049072266,0.005585211329162121
N60_L3_balanced_uniform_hS2,0,0.25,900,proposed_bound_aware,min_Bidx_under_C_budget,60,3,"[20, 20, 20]",balanced,uniform,1,2,4,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",60,"[20, 20, 20]",1200,1200,0.0,0,0.0,,,,,GUROBI_ERROR_10010,,0.0,,0.016661645844578743,0.016169622540473938,1.1920928955078125e-06,0.02542702481150627,0.0,0.042088670656085014
N60_L3_balanced_uniform_hS2,0,0.25,900,fixed_size_closest_dimension,fixed_size_1,60,3,"[20, 20, 20]",balanced,uniform,1,2,4,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",60,"[20, 20, 20]",1200,1200,0.0,0,0.0,,,,,GUROBI_ERROR_10010,,0.0,,0.0,0.0,0.0,0.02536919806152582,0.0,0.02536919806152582
N60_L3_balanced_uniform_hS2,0,0.25,900,threshold_closest_dimension,release_gap_threshold_0,60,3,"[20, 20, 20]",balanced,uniform,1,2,4,"[[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1]]",54,"[19, 17, 18]",971,1200,0.19083333333333333,0,0.0,,,,,GUROBI_ERROR_10010,,0.0,,0.0,0.0,0.0,0.022707668133080006,0.0,0.022707668133080006
N60_L3_balanced_uniform_hS2,0,0.5,600,proposed_bound_aware,min_Bidx_under_C_budget,60,3,"[20, 20, 20]",balanced,uniform,1,2,4,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",60,"[20, 20, 20]",1200,1200,0.0,0,0.0,,,,,GUROBI_ERROR_10010,,0.0,,0.01670562196522951,0.016226829029619694,9.5367431640625e-07,0.025760789401829243,1.1920928955078125e-06,0.04246760345995426
N60_L3_balanced_uniform_hS2,0,0.5,600,fixed_size_closest_dimension,fixed_size_2,60,3,"[20, 20, 20]",balanced,uniform,1,2,4,"[[2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2]]",30,"[10, 10, 10]",300,1200,0.75,8065,134.41666666666666,,,,4.0,OPTIMAL,0.0,1.0,0.002260923385620117,0.0,0.0,0.0,0.007370892912149429,0.025548934936523438,0.03291982784867287
N60_L3_balanced_uniform_hS2,0,0.5,600,threshold_closest_dimension,release_gap_threshold_1,60,3,"[20, 20, 20]",balanced,uniform,1,2,4,"[[1, 2, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 3], [1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1], [1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3]]",45,"[14, 16, 15]",674,1200,0.43833333333333335,0,0.0,,,,1.3,OPTIMAL,0.0,135.0,0.005621910095214844,0.0,0.0,0.0,0.014959795400500298,0.11458206176757812,0.12954185716807842
N60_L3_balanced_uniform_hS2,0,0.75,300,proposed_bound_aware,min_Bidx_under_C_budget,60,3,"[20, 20, 20]",balanced,uniform,1,2,4,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",60,"[20, 20, 20]",1200,1200,0.0,0,0.0,,,,,GUROBI_ERROR_10010,,0.0,,0.01677633821964264,0.016292999498546124,0.0,0.02512760367244482,0.0,0.04190394189208746
N60_L3_balanced_uniform_hS2,0,0.75,300,fixed_size_closest_dimension,fixed_size_2,60,3,"[20, 20, 20]",balanced,uniform,1,2,4,"[[2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2]]",30,"[10, 10, 10]",300,1200,0.75,8065,134.41666666666666,,,,4.0,OPTIMAL,0.0,1.0,0.002215862274169922,0.0,0.0,0.0,0.0073458850383758545,0.026053905487060547,0.0333997905254364
N60_L3_balanced_uniform_hS2,0,0.75,300,threshold_closest_dimension,release_gap_threshold_4,60,3,"[20, 20, 20]",balanced,uniform,1,2,4,"[[1, 2, 2, 4, 1, 2, 1, 1, 2, 1, 3], [3, 2, 1, 2, 4, 1, 3, 1, 1, 2], [1, 1, 1, 2, 2, 1, 1, 4, 4, 3]]",31,"[11, 10, 10]",320,1200,0.7333333333333333,1196,19.933333333333334,,,,1.9,OPTIMAL,0.0,1.0,0.0023221969604492188,0.0,0.0,0.0,0.007743394933640957,0.012844085693359375,0.020587480627000332
N60_L3_balanced_uniform_hS2,0,0.9,120,proposed_bound_aware,min_Bidx_under_C_budget,60,3,"[20, 20, 20]",balanced,uniform,1,2,4,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",60,"[20, 20, 20]",1200,1200,0.0,0,0.0,,,,,GUROBI_ERROR_10010,,0.0,,0.016581324860453606,0.01609831489622593,0.0,0.025183717720210552,9.5367431640625e-07,0.041765996254980564
N60_L3_balanced_uniform_hS2,0,0.9,120,fixed_size_closest_dimension,fixed_size_3,60,3,"[20, 20, 20]",balanced,uniform,1,2,4,"[[3, 3, 3, 3, 3, 3, 2], [3, 3, 3, 3, 3, 3, 2], [3, 3, 3, 3, 3, 3, 2]]",21,"[7, 7, 7]",147,1200,0.8775,9796,163.26666666666668,,,,6.4,OPTIMAL,0.0,1.0,7.891654968261719e-05,0.0,0.0,0.0,0.00429875310510397,0.018096923828125,0.02239567693322897
N60_L3_balanced_uniform_hS2,0,0.9,120,threshold_closest_dimension,release_gap_threshold_11,60,3,"[20, 20, 20]",balanced,uniform,1,2,4,"[[4, 4, 4, 4, 1, 3], [4, 4, 4, 4, 1, 3], [1, 1, 4, 2, 4, 4, 4]]",19,"[6, 6, 7]",120,1200,0.9,7179,119.65,,,,4.9,OPTIMAL,0.0,1.0,6.604194641113281e-05,0.0,0.0,0.0,0.0037710564211010933,0.0038759708404541016,0.007647027261555195
