instance_id,seed,replication,N,L,counts,releases,lambda,arrival_rate,total_arrival_rate,per_approach_arrival_rate,h_F,h_S,method,run_role,threshold,delta,max_platoon_size,Pmax,partition,number_of_platoons,ordering_variable_count,vehicle_level_ordering_variable_count,dimension_reduction_ratio,formation_time_ms,formation_repetitions,partition_specific_upper_bound,scaled_partition_specific_upper_bound,rule_level_upper_bound,scaled_rule_level_upper_bound,time_limit_s,threads,status,objective,objective_total_delay,best_bound,terminal_mip_gap,solve_time_s,model_construction_time_s,end_to_end_time_s,node_count,time_to_first_feasible_s,sol_count,np_status,np_objective,np_terminal_mip_gap,np_solve_time_s,np_optimal_objective,np_optimal_source,matching_chp_objective,pp_optimal_objective,actual_optimality_gap,bound_check_available,bound_slack,bound_valid,delay_order_check_available,np_pp_chp_delay_order_holds
N20_lambda0p5_rep001_seed17455957085392093784,17455957085392093784,1,20,4,"[5, 5, 5, 5]","[[2, 5, 16, 24, 27], [3, 27, 31, 33, 33], [7, 12, 38, 47, 50], [1, 2, 6, 7, 7]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,4,4,2,2,"[[2, 1, 2], [1, 2, 2], [1, 1, 1, 2], [2, 2, 1]]",13,63,150,0.5800000000000001,0.002439,20,7.0,140,26.5,530,600.0,12,OPTIMAL,2.4,48.0,47.999999999994714,0.0,0.042562007904052734,0.004865463823080063,0.047489944711615086,99.0,0.0009639263153076172,5,OPTIMAL,2.4,0.0,0.1956038475036621,2.4,uniform_600s,2.55,2.4,0.0,True,26.5,True,True,True
N20_lambda0p5_rep001_seed17455957085392093784,17455957085392093784,1,20,4,"[5, 5, 5, 5]","[[2, 5, 16, 24, 27], [3, 27, 31, 33, 33], [7, 12, 38, 47, 50], [1, 2, 6, 7, 7]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,4,4,4,4,"[[2, 1, 2], [1, 4], [1, 1, 1, 2], [4, 1]]",11,44,150,0.7066666666666667,0.004537,20,10.15,203,39.75,795,600.0,12,OPTIMAL,2.55,51.0,51.0,0.0,0.023617029190063477,0.005465551279485226,0.029156309148907184,1.0,0.0001819133758544922,7,OPTIMAL,2.4,0.0,0.1956038475036621,2.4,uniform_600s,2.55,2.55,0.1499999999999999,True,39.6,True,True,True
N20_lambda0p5_rep001_seed17455957085392093784,17455957085392093784,1,20,4,"[5, 5, 5, 5]","[[2, 5, 16, 24, 27], [3, 27, 31, 33, 33], [7, 12, 38, 47, 50], [1, 2, 6, 7, 7]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,4,4,6,6,"[[2, 1, 2], [1, 4], [1, 1, 1, 2], [5]]",10,35,150,0.7666666666666666,0.0017575,20,10.15,203,42.4,848,600.0,12,OPTIMAL,2.55,51.0,51.0,0.0,0.013555049896240234,0.005015081726014614,0.018632838596827985,1.0,0.0001621246337890625,8,OPTIMAL,2.4,0.0,0.1956038475036621,2.4,uniform_600s,2.55,2.55,0.1499999999999999,True,42.25,True,True,True
N20_lambda0p5_rep001_seed17455957085392093784,17455957085392093784,1,20,4,"[5, 5, 5, 5]","[[2, 5, 16, 24, 27], [3, 27, 31, 33, 33], [7, 12, 38, 47, 50], [1, 2, 6, 7, 7]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,4,4,8,8,"[[2, 1, 2], [1, 4], [1, 1, 1, 2], [5]]",10,35,150,0.7666666666666666,0.0031145,20,10.15,203,45.05,901,600.0,12,OPTIMAL,2.55,51.0,51.0,0.0,0.013603925704956055,0.007188214920461178,0.02087391090477896,1.0,0.00018978118896484375,8,OPTIMAL,2.4,0.0,0.1956038475036621,2.4,uniform_600s,2.55,2.55,0.1499999999999999,True,44.9,True,True,True
N20_lambda0p5_rep001_seed17455957085392093784,17455957085392093784,1,20,4,"[5, 5, 5, 5]","[[2, 5, 16, 24, 27], [3, 27, 31, 33, 33], [7, 12, 38, 47, 50], [1, 2, 6, 7, 7]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,6,6,2,2,"[[2, 1, 2], [1, 2, 2], [2, 1, 2], [2, 2, 1]]",12,54,150,0.64,0.0031945,20,10.6,212,45.5,910,600.0,12,OPTIMAL,2.4,48.0,48.0,0.0,0.013503789901733398,0.00791334081441164,0.02150786860683632,1.0,0.00028586387634277344,6,OPTIMAL,2.4,0.0,0.1956038475036621,2.4,uniform_600s,2.55,2.4,0.0,True,45.5,True,True,True
N20_lambda0p5_rep001_seed17455957085392093784,17455957085392093784,1,20,4,"[5, 5, 5, 5]","[[2, 5, 16, 24, 27], [3, 27, 31, 33, 33], [7, 12, 38, 47, 50], [1, 2, 6, 7, 7]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,6,6,4,4,"[[2, 1, 2], [1, 4], [2, 1, 2], [4, 1]]",10,37,150,0.7533333333333333,0.003125,20,13.75,275,68.25,1365,600.0,12,OPTIMAL,2.55,51.0,50.99999999999949,0.0,0.01026606559753418,0.007330169901251793,0.017682828421890735,1.0,0.0002338886260986328,8,OPTIMAL,2.4,0.0,0.1956038475036621,2.4,uniform_600s,2.55,2.55,0.1499999999999999,True,68.1,True,True,True
N20_lambda0p5_rep001_seed17455957085392093784,17455957085392093784,1,20,4,"[5, 5, 5, 5]","[[2, 5, 16, 24, 27], [3, 27, 31, 33, 33], [7, 12, 38, 47, 50], [1, 2, 6, 7, 7]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,6,6,6,6,"[[2, 1, 2], [1, 4], [2, 1, 2], [5]]",9,29,150,0.8066666666666666,0.002369,20,13.75,275,72.8,1456,600.0,12,OPTIMAL,2.55,51.0,51.0,0.0,0.006452083587646484,0.006928321905434132,0.013468693657201767,1.0,0.00022602081298828125,5,OPTIMAL,2.4,0.0,0.1956038475036621,2.4,uniform_600s,2.55,2.55,0.1499999999999999,True,72.64999999999999,True,True,True
N20_lambda0p5_rep001_seed17455957085392093784,17455957085392093784,1,20,4,"[5, 5, 5, 5]","[[2, 5, 16, 24, 27], [3, 27, 31, 33, 33], [7, 12, 38, 47, 50], [1, 2, 6, 7, 7]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,6,6,8,8,"[[2, 1, 2], [1, 4], [2, 1, 2], [5]]",9,29,150,0.8066666666666666,0.002524,20,13.75,275,77.35,1547,600.0,12,OPTIMAL,2.55,51.0,51.0,0.0,0.00728607177734375,0.006143215112388134,0.013515679281543732,1.0,0.00022292137145996094,5,OPTIMAL,2.4,0.0,0.1956038475036621,2.4,uniform_600s,2.55,2.55,0.1499999999999999,True,77.19999999999999,True,True,True
N20_lambda0p5_rep001_seed17455957085392093784,17455957085392093784,1,20,4,"[5, 5, 5, 5]","[[2, 5, 16, 24, 27], [3, 27, 31, 33, 33], [7, 12, 38, 47, 50], [1, 2, 6, 7, 7]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,8,8,2,2,"[[2, 2, 1], [1, 2, 2], [2, 1, 2], [2, 2, 1]]",12,54,150,0.64,0.002454,20,14.95,299,64.5,1290,600.0,12,OPTIMAL,2.4,48.0,47.99999999999898,0.0,0.015053033828735352,0.006560906767845154,0.021690515766326426,1.0,0.0002598762512207031,4,OPTIMAL,2.4,0.0,0.1956038475036621,2.4,uniform_600s,2.75,2.4,0.0,True,64.5,True,True,True
N20_lambda0p5_rep001_seed17455957085392093784,17455957085392093784,1,20,4,"[5, 5, 5, 5]","[[2, 5, 16, 24, 27], [3, 27, 31, 33, 33], [7, 12, 38, 47, 50], [1, 2, 6, 7, 7]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,8,8,4,4,"[[2, 3], [1, 4], [2, 1, 2], [4, 1]]",9,30,150,0.8,0.002464,20,19.5,390,96.75,1935,600.0,12,OPTIMAL,2.75,55.0,55.0,0.0,0.008116960525512695,0.005822750739753246,0.014017447549714089,1.0,0.00019502639770507812,4,OPTIMAL,2.4,0.0,0.1956038475036621,2.4,uniform_600s,2.75,2.75,0.3500000000000001,True,96.4,True,True,True
